player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
Nicky Lopez,670032,2022,6,42,3,1,23,2,2,2,1,93,20,88,58,98
Yordan Alvarez,670541,2022,100,100,100,100,100,100,100,100,100,63,96,57,31,
Yairo Munoz,622168,2022,,,,,,,,,,,,,83,
Chuckie Robinson,642020,2022,,,,,,,,,,,,,31,
Hoy Park,660829,2022,,,,,,,,,,,,,56,
Michael Toglia,669911,2022,,,,,,,,,,,,,76,
Nick Fortes,663743,2022,,,,,,,,,,,,,63,
Joey Meneses,608841,2022,80,88,82,74,70,83,68,73,75,41,41,47,44,2
Jorge Polanco,593871,2022,91,51,80,80,93,57,70,51,43,48,98,43,73,4
Ramón Urías,602104,2022,54,55,65,64,40,59,64,57,83,43,31,31,35,90
Jonathan Davis,641505,2022,,,,,,,,,,,,,70,
Mark Mathias,664029,2022,,,,,,,,,,,,,55,
Nick Pratto,668472,2022,,,,,,,,,,,,,47,
Joey Gallo,608336,2022,23,1,35,82,16,67,98,63,94,1,95,1,46,19
Gavin Sheets,657757,2022,14,19,26,34,8,29,37,42,27,50,29,65,33,13
Santiago Espinal,669289,2022,26,76,17,7,51,13,8,7,10,91,39,92,42,96
Gleyber Torres,650402,2022,53,44,78,78,26,82,75,76,77,41,32,34,40,43
Jurickson Profar,595777,2022,49,57,26,15,78,29,14,22,19,84,85,86,32,9
Brian Serven,661531,2022,,,,,,,,,,,,,30,
Seby Zavala,664874,2022,,,,,,,,,,,,,18,
Wil Myers,571976,2022,,,,,,,,,,,,,73,86
Max Stassi,545358,2022,2,1,6,42,3,34,61,42,47,8,75,7,15,
Michael A. Taylor,572191,2022,18,17,25,34,16,34,41,9,13,33,45,21,86,88
Kyle Schwarber,656941,2022,97,31,98,99,80,99,99,99,99,8,94,22,29,1
Jose Rojas,670351,2022,,,,,,,,,,,,,29,
David MacKinnon,676950,2022,,,,,,,,,,,,,36,
Oswald Peraza,672724,2022,,,,,,,,,,,,,90,
Billy McKinney,641856,2022,,,,,,,,,,,,,43,
Nick Madrigal,663611,2022,,,,,,,,,,,,,51,78
David Fletcher,664058,2022,,,,,,,,,,,,,23,94
Kevin Newman,621028,2022,,,,,,,,,,,,,65,43
